Date,Close,High,Low,Open,Volume,ticker
,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,
2020-09-07,1897.2734375,1917.9012240506472,1864.728511578223,1880.9052775379846,2855392,ASIANPAINT.NS
2020-09-08,1876.4544677734375,1916.274122947084,1868.4618393197613,1902.4425746147672,2401034,ASIANPAINT.NS
2020-09-09,1894.3543701171875,1908.5688242508825,1874.2051818678294,1876.4545875983847,2776804,ASIANPAINT.NS
2020-09-10,1968.5377197265625,1981.124857486299,1896.2209186207037,1900.0976411392933,5081252,ASIANPAINT.NS
2020-09-11,1948.8189697265625,1981.3638979221523,1935.4660238671315,1974.7113784559308,2599475,ASIANPAINT.NS
2020-09-14,1944.2724609375,1966.096755989781,1919.1937661925565,1962.26794049613,2142458,ASIANPAINT.NS
2020-09-15,1931.20654296875,1961.837064085634,1923.0703107970778,1957.4817401258608,1997383,ASIANPAINT.NS
2020-09-16,1925.9898681640625,1940.2522290830445,1908.8081055724679,1940.2522290830445,1717740,ASIANPAINT.NS
2020-09-17,1922.0172119140625,1957.4816573841065,1914.4074888842117,1914.4074888842117,2416918,ASIANPAINT.NS
2020-09-18,1941.59228515625,1956.859639608623,1928.765730379036,1939.58218046901,3021436,ASIANPAINT.NS
2020-09-21,1888.13232421875,1968.9681350419235,1878.3209856751525,1949.2497609479262,2518361,ASIANPAINT.NS
2020-09-22,1854.5823974609375,1910.2916129326513,1843.909551520509,1905.0269919334073,1974860,ASIANPAINT.NS
2020-09-23,1863.2452392578125,1904.8357006567985,1845.7762686362112,1856.9755071729594,2732912,ASIANPAINT.NS
2020-09-24,1836.2518310546875,1861.7613349256,1826.1054944495186,1858.459028653529,1906183,ASIANPAINT.NS
2020-09-25,1843.1917724609375,1871.333589970912,1826.345007501023,1842.8567744713546,1939316,ASIANPAINT.NS
2020-09-28,1862.3358154296875,1874.2051667188991,1847.4034585125,1855.0610894286142,1137313,ASIANPAINT.NS
2020-09-29,1876.071533203125,1904.787647082687,1870.3762173554785,1876.1194401313908,1965383,ASIANPAINT.NS
2020-09-30,1901.3896484375,1918.2364119194556,1874.348641133745,1881.9583645922644,2518982,ASIANPAINT.NS
2020-10-01,1953.126220703125,1961.6454737515755,1906.7976556271929,1921.1078040409047,2014003,ASIANPAINT.NS
2020-10-05,1941.20947265625,1955.280322982891,1924.9370066625831,1953.126614248435,1554873,ASIANPAINT.NS
2020-10-06,2000.5560302734375,2008.1178471501648,1957.5775543878024,1962.2678765839937,3152378,ASIANPAINT.NS
2020-10-07,2014.9140625,2028.1235220947628,1985.192836834869,1990.9839667458432,2429595,ASIANPAINT.NS
2020-10-08,1999.2635498046875,2017.7376292031652,1983.3741075249422,2014.4353229531823,1427493,ASIANPAINT.NS
2020-10-09,1962.842041015625,2018.6468309180625,1957.6252106357733,2004.3845889720258,1636939,ASIANPAINT.NS
2020-10-12,1988.9261474609375,1997.1579604973322,1953.8923924705032,1979.4017820354927,2182836,ASIANPAINT.NS
2020-10-13,1976.290771484375,2023.5288734304652,1966.1445512180549,1988.112332126337,2619233,ASIANPAINT.NS
2020-10-14,1982.7044677734375,1996.248810000884,1967.0540899313435,1981.4121489819372,1530471,ASIANPAINT.NS
2020-10-15,2000.98681640625,2033.1010535145003,1977.6311350688068,1981.412043679386,4001883,ASIANPAINT.NS
2020-10-16,1972.9884033203125,2000.5559191843818,1967.5802953889238,2000.5080122564614,2017706,ASIANPAINT.NS
2020-10-19,1981.5078125,1990.9361303457356,1968.489746471631,1990.9361303457356,1338404,ASIANPAINT.NS
2020-10-20,2027.8365478515625,2040.5674069980728,1978.8756597742934,1988.9739743921873,2377713,ASIANPAINT.NS
2020-10-21,2023.816162109375,2052.1015828294035,1992.1805278889926,2038.8442159296355,2895432,ASIANPAINT.NS
2020-10-22,2010.0323486328125,2026.25714146972,1987.9210790607428,2023.7204109540112,2755686,ASIANPAINT.NS
2020-10-23,2029.5115966796875,2038.2699190073033,2006.2994017878198,2023.0504702664873,3070714,ASIANPAINT.NS
2020-10-26,1991.414306640625,2025.778058231577,1981.4594820588834,2025.778058231577,1278139,ASIANPAINT.NS
2020-10-27,2103.742431640625,2112.8837741183806,1995.7698027668603,1995.7698027668603,4964874,ASIANPAINT.NS
2020-10-28,2070.285400390625,2126.846645030141,2061.2738074253703,2108.871673216736,3166047,ASIANPAINT.NS
2020-10-29,2133.4609375,2140.938571169827,2071.770986334331,2072.633691198552,4795796,ASIANPAINT.NS
2020-10-30,2120.087890625,2150.142135441155,2104.7492488660127,2118.7458530907284,3006197,ASIANPAINT.NS
2020-11-02,2083.035400390625,2133.8923929033926,2076.564411449509,2107.145732233078,1772571,ASIANPAINT.NS
2020-11-03,2065.587646484375,2103.215251338566,2058.0142858785835,2103.215251338566,1781465,ASIANPAINT.NS
2020-11-04,2079.775634765625,2122.340499093722,2066.8816379619916,2070.7162977726816,2189957,ASIANPAINT.NS
2020-11-05,2145.780029296875,2152.8740570507857,2093.388843858749,2099.4764605489245,2671841,ASIANPAINT.NS
2020-11-06,2117.7392578125,2155.0792179144983,2111.4599543846452,2141.609925992712,2395965,ASIANPAINT.NS
2020-11-09,2133.22119140625,2156.037463934893,2122.627896941267,2156.037463934893,1691773,ASIANPAINT.NS
2020-11-10,2108.823486328125,2146.019737829172,2098.517836832488,2133.2214655335592,1879561,ASIANPAINT.NS
2020-11-11,2091.519287109375,2131.112196590894,2068.1279558091537,2113.8562273877287,2387398,ASIANPAINT.NS
2020-11-12,2082.02880859375,2110.7407801168497,2072.6338442659835,2082.2204947945033,1626054,ASIANPAINT.NS
2020-11-13,2089.842041015625,2115.342627553068,2082.220699904525,2090.3693536564538,1560060,ASIANPAINT.NS
2020-11-14,2094.300048828125,2102.7361151848377,2090.225721807327,2101.3940775505744,146991,ASIANPAINT.NS
2020-11-17,2097.22314453125,2130.057416881337,2091.8067815442114,2115.198111146261,1699293,ASIANPAINT.NS
2020-11-18,2104.98876953125,2118.649746402852,2076.564444607515,2094.683120312322,1817170,ASIANPAINT.NS
2020-11-19,2072.346435546875,2104.2700322768887,2067.553109733032,2085.0967290215185,2669522,ASIANPAINT.NS
2020-11-20,2076.995849609375,2099.524478704383,2071.243859202139,2073.928168202,2196113,ASIANPAINT.NS
2020-11-23,2095.881591796875,2106.139261639875,2050.392979244425,2071.2439453377733,4002609,ASIANPAINT.NS
2020-11-24,2116.636474609375,2138.781730929353,2100.435128850835,2102.2564988299305,2954306,ASIANPAINT.NS
2020-11-25,2065.25244140625,2117.40373351099,2061.1301343277714,2106.4270640240443,1682365,ASIANPAINT.NS
2020-11-26,2066.211181640625,2087.445522501791,2029.637963313041,2070.71686133463,2247478,ASIANPAINT.NS
2020-11-27,2123.73095703125,2151.8198927813905,2075.5100530986288,2080.303378856362,10036402,ASIANPAINT.NS
2020-12-01,2137.87109375,2180.963041989603,2115.0068381297256,2180.963041989603,2235498,ASIANPAINT.NS
2020-12-02,2220.124755859375,2229.807133334189,2143.575250887597,2148.368576582784,3305952,ASIANPAINT.NS
2020-12-03,2311.72509765625,2321.743335923505,2220.5082003370626,2243.2764981278906,4334658,ASIANPAINT.NS
2020-12-04,2337.9443359375,2343.9359923596876,2276.829440431189,2300.7960661199386,2789953,ASIANPAINT.NS
2020-12-07,2370.34765625,2376.339313672095,2336.2670620233,2339.1430575859054,1762501,ASIANPAINT.NS
2020-12-08,2338.087890625,2381.515460369858,2327.5905560630968,2368.4297772110426,2090950,ASIANPAINT.NS
2020-12-09,2418.041015625,2427.4359803646407,2345.853487170736,2348.7294824553755,2022370,ASIANPAINT.NS
2020-12-10,2421.63623046875,2446.5135451386873,2397.6216208432043,2411.9536185082334,2372909,ASIANPAINT.NS
2020-12-11,2416.746826171875,2432.0374882710203,2391.8695127191463,2412.001480561672,2171653,ASIANPAINT.NS
2020-12-14,2442.822265625,2448.3345896897754,2416.7946030083485,2425.42258850104,1280339,ASIANPAINT.NS
2020-12-15,2422.97802734375,2433.6672834933242,2399.0593802327667,2430.2159955604648,1283286,ASIANPAINT.NS
2020-12-16,2475.704345703125,2480.9290230657816,2432.7083615205875,2435.0090638668185,1920875,ASIANPAINT.NS
2020-12-17,2468.61083984375,2495.7411114813867,2451.3068863857984,2462.810868644942,1750663,ASIANPAINT.NS
2020-12-18,2493.967529296875,2527.0414788493417,2469.090214052018,2470.4802317886015,4402604,ASIANPAINT.NS
