Date,Close,High,Low,Open,Volume,ticker
,VGUARD.NS,VGUARD.NS,VGUARD.NS,VGUARD.NS,VGUARD.NS,
2020-09-07,165.58033752441406,166.95039658262053,161.91056047408412,163.91670824807002,504612,VGUARD.NS
2020-09-08,164.161376953125,167.73328767692456,162.44881415331594,165.3357027436644,415587,VGUARD.NS
2020-09-09,161.17662048339844,163.86779057776482,159.51299104789896,162.20416114226538,507119,VGUARD.NS
2020-09-10,166.80361938476562,168.80976743349134,161.66593081070286,161.66593081070286,636352,VGUARD.NS
2020-09-11,164.65066528320312,167.68435364769547,164.40601347743313,167.34183514667302,242579,VGUARD.NS
2020-09-14,174.87713623046875,175.85574361276838,165.3846476086352,165.3846476086352,1869187,VGUARD.NS
2020-09-15,172.23489379882812,176.10038984931782,170.66911606407533,175.9046713655645,495731,VGUARD.NS
2020-09-16,173.70278930664062,176.14930746588908,171.45198961365966,174.68139657034,517254,VGUARD.NS
2020-09-17,171.64768981933594,173.50705238197517,169.9351272900515,172.43057853348088,258588,VGUARD.NS
2020-09-18,169.3969268798828,173.5560078380254,167.34184560997338,172.23488203131762,417823,VGUARD.NS
2020-09-21,166.60787963867188,174.28995230861238,165.3846206104878,168.3204422781296,673289,VGUARD.NS
2020-09-22,164.6017608642578,167.24399784447334,159.31728690382673,166.3632571618561,710961,VGUARD.NS
2020-09-23,164.40603637695312,166.02073254699576,161.56808100767722,165.38464373633977,245555,VGUARD.NS
2020-09-24,160.9809112548828,163.42742966301174,159.12156323765018,160.68732605943467,314156,VGUARD.NS
2020-09-25,161.56808471679688,163.32956605824052,159.65978837629356,161.95952169659245,340767,VGUARD.NS
2020-09-28,162.93812561035156,165.0910588181298,162.49775528436382,163.67208113111892,274842,VGUARD.NS
2020-09-29,165.09103393554688,166.06964114907396,160.98088662520533,163.42740465902304,422488,VGUARD.NS
2020-09-30,166.80361938476562,168.1247452767556,161.02984200781174,163.57421215173926,379439,VGUARD.NS
2020-10-01,165.18890380859375,169.64156970229737,164.40601503623466,169.29905119802737,319085,VGUARD.NS
2020-10-05,164.11244201660156,167.19506398591577,163.7210050676549,165.6292863254042,190001,VGUARD.NS
2020-10-06,163.32955932617188,165.8739443870602,162.44881869175217,164.8953370455436,233052,VGUARD.NS
2020-10-07,162.7913360595703,165.58035800334994,162.49775087276117,163.0359878931841,290774,VGUARD.NS
2020-10-08,161.2255401611328,165.0910357096316,159.80656267274227,163.47633976290464,499896,VGUARD.NS
2020-10-09,161.71484375,164.40601361573374,160.14906621881045,161.6659104023326,464002,VGUARD.NS
2020-10-12,161.5191192626953,163.4274002916042,160.00227513579213,162.54665979591107,357333,VGUARD.NS
2020-10-13,162.39988708496094,163.91673146709928,160.78519092703627,161.5680797951428,212293,VGUARD.NS
2020-10-14,162.44879150390625,163.42739868164062,160.68729559751227,161.47018432617188,400098,VGUARD.NS
2020-10-15,163.08489990234375,164.40602572486347,162.00844083618165,163.3784850776106,453154,VGUARD.NS
2020-10-16,163.47634887695312,163.91671916585167,161.95950460864748,163.5742006453961,168174,VGUARD.NS
2020-10-19,163.67205810546875,165.09103559285558,162.4487990762799,164.8953171346576,283472,VGUARD.NS
2020-10-20,160.44265747070312,163.08489408919797,160.19800565542837,162.44880534242836,468154,VGUARD.NS
2020-10-21,161.127685546875,162.3509446686471,160.00229312778959,161.27448560090505,245203,VGUARD.NS
