Date,Close,High,Low,Open,Volume,ticker
,NMDC.NS,NMDC.NS,NMDC.NS,NMDC.NS,NMDC.NS,
2020-09-07,16.977291107177734,17.493400062291652,16.868636448405738,17.09500099490047,31332574,NMDC.NS
2020-09-08,16.243871688842773,17.013509538788625,16.162381367801324,16.959182208725608,36036775,NMDC.NS
2020-09-09,16.606054306030273,16.76903630030974,15.582890238217818,16.053727110580727,52565819,NMDC.NS
2020-09-10,16.207653045654297,16.796199780024413,15.999398959902862,16.68754512273511,29164708,NMDC.NS
2020-09-11,16.261980056762695,16.406851570203763,16.071833751929198,16.216706613476248,16650098,NMDC.NS
2020-09-14,16.234817504882812,16.57889058886024,16.153325837256144,16.479291159656682,22499974,NMDC.NS
2020-09-15,16.225759506225586,16.40685057214328,16.02655933371612,16.40685057214328,13983439,NMDC.NS
2020-09-16,16.43401527404785,17.149324326385848,16.24386897652387,16.406850939499027,118293905,NMDC.NS
2020-09-17,15.972233772277832,16.5879434641797,15.863579120765738,16.289143846574465,52229444,NMDC.NS
2020-09-18,15.736814498901367,16.11710575836849,15.646268960933005,16.06277843558747,29503135,NMDC.NS
2020-09-21,15.084887504577637,15.81830566526309,14.949068527795331,15.81830566526309,37078259,NMDC.NS
2020-09-22,14.68648624420166,15.157323041179765,14.469176953288688,15.057723623564309,39261652,NMDC.NS
2020-09-23,14.523504257202148,14.885686408254571,14.360522289228557,14.813249978044086,28268930,NMDC.NS
2020-09-24,13.735757827758789,14.32430310953372,13.690484387872935,14.251866684201058,38643064,NMDC.NS
2020-09-25,14.36052131652832,14.432957741832372,13.744811701443878,13.907793658377994,29635419,NMDC.NS
2020-09-28,14.795141220092773,14.940014083937012,14.469177276443238,14.496341612467036,23796117,NMDC.NS
2020-09-29,14.985289573669434,15.093944236385685,14.704597687599357,14.930962242311308,33691916,NMDC.NS
2020-09-30,14.894742965698242,15.021506729882455,14.650269317861351,15.021506729882455,23469831,NMDC.NS
2020-10-01,14.958121299743652,15.1844857949186,14.903793982674367,15.030557722502703,13396172,NMDC.NS
2020-10-05,15.121105194091797,15.229759842193054,14.96717845000135,15.112051314136362,18699368,NMDC.NS
2020-10-06,15.030557632446289,15.2388130206837,14.958121210121247,15.202594809521178,11352456,NMDC.NS
2020-10-07,14.86757755279541,15.102994585518967,14.777030673601292,15.030558160648374,12483841,NMDC.NS
