Date,Close,High,Low,Open,Volume,ticker
,GODREJIND.NS,GODREJIND.NS,GODREJIND.NS,GODREJIND.NS,GODREJIND.NS,
2020-09-07,426.8500061035156,444.95001220703125,422.0,440.0,105883,GODREJIND.NS
2020-09-08,412.75,428.3500061035156,411.0,423.0,77696,GODREJIND.NS
2020-09-09,408.54998779296875,415.0,400.0,409.0,60984,GODREJIND.NS
2020-09-10,411.45001220703125,420.20001220703125,408.0,409.0,102719,GODREJIND.NS
2020-09-11,407.54998779296875,420.25,405.5,406.1499938964844,60809,GODREJIND.NS
2020-09-14,419.6000061035156,429.0,409.0,411.1499938964844,151047,GODREJIND.NS
2020-09-15,416.5,428.70001220703125,412.3500061035156,423.8999938964844,178752,GODREJIND.NS
2020-09-16,411.6499938964844,420.6499938964844,408.25,417.0,56424,GODREJIND.NS
2020-09-17,410.1499938964844,416.20001220703125,407.1499938964844,410.8999938964844,60550,GODREJIND.NS
2020-09-18,409.29998779296875,416.45001220703125,407.0,410.0,120622,GODREJIND.NS
2020-09-21,397.79998779296875,415.8500061035156,394.1000061035156,411.3500061035156,80696,GODREJIND.NS
2020-09-22,401.1000061035156,410.54998779296875,380.0,397.0,96347,GODREJIND.NS
2020-09-23,401.1000061035156,412.0,392.0,403.0,80815,GODREJIND.NS
2020-09-24,403.95001220703125,411.45001220703125,391.0,395.1000061035156,331551,GODREJIND.NS
2020-09-25,401.04998779296875,409.6499938964844,400.0,401.0,50153,GODREJIND.NS
2020-09-28,412.8999938964844,418.95001220703125,401.54998779296875,403.0,80534,GODREJIND.NS
2020-09-29,408.6000061035156,420.1499938964844,405.25,413.1000061035156,93812,GODREJIND.NS
2020-09-30,411.45001220703125,415.8999938964844,402.0,408.0,65227,GODREJIND.NS
2020-10-01,409.5,415.95001220703125,406.0,414.0,47627,GODREJIND.NS
2020-10-05,401.5,415.0,399.6499938964844,415.0,51097,GODREJIND.NS
2020-10-06,402.0,413.0,399.5,403.54998779296875,51969,GODREJIND.NS
2020-10-07,395.95001220703125,408.95001220703125,390.0,403.6000061035156,60153,GODREJIND.NS
2020-10-08,395.5,404.8999938964844,394.0,404.0,44315,GODREJIND.NS
2020-10-09,395.6000061035156,399.1000061035156,391.04998779296875,396.0,50087,GODREJIND.NS
2020-10-12,390.0,398.75,387.20001220703125,395.5,48431,GODREJIND.NS
2020-10-13,387.79998779296875,391.95001220703125,385.20001220703125,390.0,46594,GODREJIND.NS
2020-10-14,379.04998779296875,389.25,377.0,387.0,113494,GODREJIND.NS
2020-10-15,383.54998779296875,387.0,377.1499938964844,380.0,54598,GODREJIND.NS
2020-10-16,376.20001220703125,387.0,373.75,385.3500061035156,75462,GODREJIND.NS
2020-10-19,375.8999938964844,379.8500061035156,371.29998779296875,377.0,46332,GODREJIND.NS
2020-10-20,373.1499938964844,375.79998779296875,371.0,374.04998779296875,53167,GODREJIND.NS
2020-10-21,387.3999938964844,395.45001220703125,372.5,375.79998779296875,298465,GODREJIND.NS
2020-10-22,385.6000061035156,392.0,381.1000061035156,385.0,82491,GODREJIND.NS
2020-10-23,382.1499938964844,390.04998779296875,378.75,385.0,70886,GODREJIND.NS
2020-10-26,377.3500061035156,387.0,375.0,382.5,43795,GODREJIND.NS
2020-10-27,376.75,383.95001220703125,372.04998779296875,375.04998779296875,33184,GODREJIND.NS
2020-10-28,372.6499938964844,383.0,372.0,378.54998779296875,59369,GODREJIND.NS
2020-10-29,367.70001220703125,370.75,366.0,370.0,34351,GODREJIND.NS
2020-10-30,366.1000061035156,375.20001220703125,365.0,365.8500061035156,40579,GODREJIND.NS
2020-11-02,358.1000061035156,369.25,356.0,366.0,75340,GODREJIND.NS
2020-11-03,354.29998779296875,363.79998779296875,352.0,361.6499938964844,93035,GODREJIND.NS
2020-11-04,361.04998779296875,363.0,352.0,354.29998779296875,64119,GODREJIND.NS
2020-11-05,369.54998779296875,374.8999938964844,360.5,364.0,128739,GODREJIND.NS
2020-11-06,380.6499938964844,383.3999938964844,369.54998779296875,370.25,171853,GODREJIND.NS
2020-11-09,381.95001220703125,389.29998779296875,378.04998779296875,383.79998779296875,89105,GODREJIND.NS
2020-11-10,376.8999938964844,385.25,370.54998779296875,383.0,70057,GODREJIND.NS
2020-11-11,381.79998779296875,387.5,375.0,377.5,289710,GODREJIND.NS
2020-11-12,380.3500061035156,384.20001220703125,376.0,380.79998779296875,159369,GODREJIND.NS
2020-11-13,382.3999938964844,384.8999938964844,378.3999938964844,379.8999938964844,106780,GODREJIND.NS
2020-11-14,389.95001220703125,390.8500061035156,385.0,385.6499938964844,83247,GODREJIND.NS
2020-11-17,395.20001220703125,403.0,391.20001220703125,392.0,371752,GODREJIND.NS
2020-11-18,406.95001220703125,408.0,395.5,398.0,743666,GODREJIND.NS
2020-11-19,418.1000061035156,421.8999938964844,407.04998779296875,408.0,437331,GODREJIND.NS
2020-11-20,420.3500061035156,426.0,413.75,419.70001220703125,306227,GODREJIND.NS
2020-11-23,419.6499938964844,426.0,415.54998779296875,421.0,116559,GODREJIND.NS
2020-11-24,415.04998779296875,422.0,410.75,422.0,117813,GODREJIND.NS
2020-11-25,410.3500061035156,423.54998779296875,406.6000061035156,418.0,119595,GODREJIND.NS
2020-11-26,403.25,412.3999938964844,400.70001220703125,412.3999938964844,105904,GODREJIND.NS
2020-11-27,405.70001220703125,411.0,402.70001220703125,405.0,188283,GODREJIND.NS
2020-12-01,408.1499938964844,410.95001220703125,406.04998779296875,407.45001220703125,73683,GODREJIND.NS
2020-12-02,409.5,418.1000061035156,405.0,409.95001220703125,236832,GODREJIND.NS
2020-12-03,420.8999938964844,424.3999938964844,410.3500061035156,415.79998779296875,314270,GODREJIND.NS
2020-12-04,427.1499938964844,428.79998779296875,421.5,421.5,184437,GODREJIND.NS
2020-12-07,434.25,435.70001220703125,427.6499938964844,428.29998779296875,226686,GODREJIND.NS
2020-12-08,438.1000061035156,441.0,430.0,436.75,158067,GODREJIND.NS
2020-12-09,442.1499938964844,444.3999938964844,433.8999938964844,441.1000061035156,236155,GODREJIND.NS
2020-12-10,443.95001220703125,448.0,434.3500061035156,444.0,153622,GODREJIND.NS
2020-12-11,452.6499938964844,455.0,444.0,444.0,162812,GODREJIND.NS
2020-12-14,451.95001220703125,454.70001220703125,447.5,453.25,215860,GODREJIND.NS
2020-12-15,457.54998779296875,459.8500061035156,445.3999938964844,455.0,233854,GODREJIND.NS
2020-12-16,474.6499938964844,483.3500061035156,450.0,459.8999938964844,493769,GODREJIND.NS
2020-12-17,467.79998779296875,479.8500061035156,465.0,475.1499938964844,190492,GODREJIND.NS
2020-12-18,447.8999938964844,475.79998779296875,375.0,473.0,218570,GODREJIND.NS
2020-12-21,421.1499938964844,449.8999938964844,414.3999938964844,448.0,333492,GODREJIND.NS
2020-12-22,429.75,444.0,405.1000061035156,405.1000061035156,215203,GODREJIND.NS
2020-12-23,431.45001220703125,437.79998779296875,426.0,434.0,200854,GODREJIND.NS
2020-12-24,434.54998779296875,436.20001220703125,430.45001220703125,432.1000061035156,155707,GODREJIND.NS
2020-12-28,443.8500061035156,448.75,434.04998779296875,440.0,279014,GODREJIND.NS
2020-12-29,431.1000061035156,445.0,427.70001220703125,445.0,263895,GODREJIND.NS
2020-12-30,423.75,441.0,420.20001220703125,436.0,256257,GODREJIND.NS
2020-12-31,422.20001220703125,433.29998779296875,420.1000061035156,423.8999938964844,226735,GODREJIND.NS
2021-01-01,428.8999938964844,430.0,423.0,424.3500061035156,107762,GODREJIND.NS
2021-01-04,425.75,435.5,424.25,431.3500061035156,300076,GODREJIND.NS
2021-01-05,422.5,427.0,421.0,426.8999938964844,176447,GODREJIND.NS
2021-01-06,422.75,427.25,421.5,423.5,200672,GODREJIND.NS
2021-01-07,426.8999938964844,430.6000061035156,418.0,423.1000061035156,483604,GODREJIND.NS
2021-01-08,431.29998779296875,435.54998779296875,427.6000061035156,430.0,595357,GODREJIND.NS
2021-01-11,432.79998779296875,434.95001220703125,423.5,433.5,247541,GODREJIND.NS
2021-01-12,434.54998779296875,438.54998779296875,428.6000061035156,431.8999938964844,633097,GODREJIND.NS
2021-01-13,435.6000061035156,453.0,431.3999938964844,449.0,1758041,GODREJIND.NS
2021-01-14,437.1499938964844,439.6499938964844,433.0,438.0,495359,GODREJIND.NS
2021-01-15,430.70001220703125,438.45001220703125,427.20001220703125,438.0,275596,GODREJIND.NS
2021-01-18,419.1499938964844,430.0,417.04998779296875,430.0,344109,GODREJIND.NS
2021-01-19,417.29998779296875,424.45001220703125,413.04998779296875,421.0,541788,GODREJIND.NS
2021-01-20,424.20001220703125,426.0,418.79998779296875,419.3999938964844,281949,GODREJIND.NS
2021-01-21,430.8500061035156,435.8999938964844,425.95001220703125,425.95001220703125,530224,GODREJIND.NS
2021-01-22,440.1000061035156,447.79998779296875,430.0,433.29998779296875,846479,GODREJIND.NS
2021-01-25,437.79998779296875,445.8999938964844,430.0,443.1000061035156,314813,GODREJIND.NS
2021-01-27,432.04998779296875,444.0,430.0,437.5,226104,GODREJIND.NS
2021-01-28,431.75,439.0,427.54998779296875,432.5,264936,GODREJIND.NS
2021-01-29,437.6499938964844,442.1499938964844,433.04998779296875,435.6499938964844,319338,GODREJIND.NS
2021-02-01,444.25,445.95001220703125,426.25,437.6499938964844,249834,GODREJIND.NS
2021-02-02,444.3500061035156,455.0,440.0,448.20001220703125,326872,GODREJIND.NS
2021-02-03,454.75,456.8999938964844,447.54998779296875,447.75,354477,GODREJIND.NS
2021-02-04,459.54998779296875,466.79998779296875,454.04998779296875,454.79998779296875,793603,GODREJIND.NS
2021-02-05,463.8999938964844,468.6000061035156,457.95001220703125,462.5,1003813,GODREJIND.NS
2021-02-08,458.75,466.0,451.75,464.0,340100,GODREJIND.NS
2021-02-09,452.79998779296875,460.0,447.3500061035156,459.54998779296875,132152,GODREJIND.NS
2021-02-10,449.95001220703125,458.20001220703125,445.29998779296875,450.0,213631,GODREJIND.NS
2021-02-11,449.1499938964844,452.3500061035156,445.04998779296875,448.0,100907,GODREJIND.NS
2021-02-12,450.25,460.0,441.6000061035156,450.0,172421,GODREJIND.NS
2021-02-15,447.95001220703125,455.6000061035156,446.0,447.0,243100,GODREJIND.NS
2021-02-16,446.25,450.29998779296875,441.1000061035156,447.95001220703125,122285,GODREJIND.NS
2021-02-17,444.5,448.04998779296875,441.29998779296875,445.0,91134,GODREJIND.NS
2021-02-18,439.04998779296875,446.8999938964844,436.3999938964844,445.45001220703125,96196,GODREJIND.NS
2021-02-19,448.0,452.8500061035156,438.25,438.25,199315,GODREJIND.NS
2021-02-22,432.04998779296875,459.6000061035156,426.6000061035156,457.0,371056,GODREJIND.NS
2021-02-23,447.79998779296875,449.8500061035156,432.29998779296875,432.29998779296875,175370,GODREJIND.NS
2021-02-24,444.5,454.0,436.0,450.0,74037,GODREJIND.NS
2021-02-25,445.1499938964844,449.0,439.79998779296875,440.5,266589,GODREJIND.NS
2021-02-26,446.45001220703125,447.79998779296875,439.0,444.6000061035156,240313,GODREJIND.NS
2021-03-01,451.95001220703125,453.6000061035156,445.0,449.5,234302,GODREJIND.NS
2021-03-02,457.95001220703125,459.25,450.20001220703125,453.5,199285,GODREJIND.NS
2021-03-03,463.1000061035156,466.1000061035156,455.0,459.6499938964844,357315,GODREJIND.NS
2021-03-04,466.1499938964844,468.3999938964844,456.45001220703125,461.95001220703125,120948,GODREJIND.NS
2021-03-05,466.6000061035156,467.8999938964844,463.0,467.8999938964844,208996,GODREJIND.NS
2021-03-08,474.6499938964844,489.0,466.95001220703125,467.0,421237,GODREJIND.NS
2021-03-09,478.25,518.7999877929688,467.0,477.0,4759465,GODREJIND.NS
2021-03-10,493.25,507.95001220703125,473.04998779296875,473.79998779296875,1828595,GODREJIND.NS
2021-03-12,486.6000061035156,507.70001220703125,477.0,502.95001220703125,950036,GODREJIND.NS
2021-03-15,503.25,508.0,481.5,490.5,728151,GODREJIND.NS
2021-03-16,507.1000061035156,521.0,501.95001220703125,508.0,919583,GODREJIND.NS
2021-03-17,506.6000061035156,512.7999877929688,501.04998779296875,504.0,400945,GODREJIND.NS
